4680,3240,3960,2880,2880,3600,3240,1800,4680,3600
3960,3240,3600,3240,2160,3960,4680,3960,3600,3600
3960,3960,5040,3600,2160,4320,3960,3960,3600,4320
4320,4320,4320,4320,3600,4320,2520,3600,3960,3240
4320,5040,4320,4680,4320,4680,3240,5040,2880,3600
4680,4680,4680,4320,3960,1080,3960,4680,4320,3960
3960,3960,3960,2880,5040,3600,4680,3600,3240,3960
4320,3960,3960,5040,3240,5040,3240,3600,3600,3240
4320,3600,3600,3960,3600,3960,3600,3240,3960,3960
3960,3960,4320,3600,4320,2880,1440,3960,3960,4680
4320,4680,3960,3600,4680,5040,3240,4680,3960,3240
3600,3600,4320,5040,3600,4320,4680,3600,4680,5040
2160,2160,3600,3960,3600,4680,3600,3600,3960,3960
